code,product_name,generic_name,brands,categories,main_category,origins
2961251404189,Organic QuickMeal Tomato Paste,Tomato Paste,QuickMeal,Pasta,Pasta,Indonesia
2531350688820,Pure NatureBite Instant Coffee,Instant Coffee,NatureBite,Juice,Juice,Mexico
8381094320374,Natural CountryStyle Cream,Cream,CountryStyle,Beverages,Beverages,Vietnam
3808074611645,Royal MorningFresh Instant Coffee,Instant Coffee,MorningFresh,Juice,Juice,Vietnam
2796741992313,Fresh PureChoice Mineral Water,Mineral Water,PureChoice,Jam,Jam,Germany
7661160537249,Fresh HealthyLife Bagel Pack of 12,Bagel,HealthyLife,Pickles,Pickles,Germany
1803457621458,Golden HealthyLife Mustard 500g,Mustard,HealthyLife,Condiments,Condiments,Italy
8976948156217,Golden GoldenHarvest Gouda,Gouda,GoldenHarvest,Jam,Jam,Mexico
5697277634980,Royal DailyBasics Tempeh,Tempeh,DailyBasics,Spices,Spices,Spain
5306688806356,Premium SimpleJoy Frozen Pizza,Frozen Pizza,SimpleJoy,Tea,Tea,Japan
5028919575309,Organic MorningFresh Cheddar,Cheddar,MorningFresh,Canned Goods,Canned Goods,Mexico
6535001295567,Natural OrganicPlus Soy Milk,Soy Milk,OrganicPlus,Soup Mix,Soup Mix,Brazil
3453563977694,Natural VillageMade Coconut Oil,Coconut Oil,VillageMade,Salt,Salt,Germany
7366856944791,Natural FamilyFarm Sauce,Sauce,FamilyFarm,Bakery,Bakery,Turkey
3689120466741,Golden KitchenPride Pickle,Pickle,KitchenPride,Vinegar,Vinegar,Italy
1205911172655,Golden PureChoice Corn,Corn,PureChoice,Health Supplements,Health Supplements,Vietnam
6985642353299,Fresh KitchenPride Gum,Gum,KitchenPride,Beverages,Beverages,Indonesia
9930004312372,Fresh HealthyLife Condensed Milk Pack of 6,Condensed Milk,HealthyLife,Sauces,Sauces,Brazil
1012534834141,Pure OrganicPlus Almonds,Almonds,OrganicPlus,Pickles,Pickles,Turkey
6410828897069,Natural TastyBites Butter 200g,Butter,TastyBites,Frozen Foods,Frozen Foods,Indonesia
3215197391284,Premium OrganicPlus Almond Milk 250g,Almond Milk,OrganicPlus,Chocolate,Chocolate,Spain
8019315372954,Golden GoldenHarvest Soy Milk,Soy Milk,GoldenHarvest,Personal Care,Personal Care,France
5359911514519,Natural MorningFresh Cheese,Cheese,MorningFresh,Tea,Tea,Germany
1125499878070,Fresh NatureBite Black Beans,Black Beans,NatureBite,Dairy,Dairy,Turkey
2246959695420,Farm Fresh QuickMeal Pepper,Pepper,QuickMeal,Juice,Juice,Spain
5275522566137,Artisan KitchenPride Cheddar,Cheddar,KitchenPride,Condiments,Condiments,Japan
7233848897235,Traditional NutriWell Black Tea 100g,Black Tea,NutriWell,Condiments,Condiments,India
2923551236702,Natural SunValley Cornflakes,Cornflakes,SunValley,Pasta,Pasta,Italy
5897050792566,Artisan DailyBasics Cinnamon,Cinnamon,DailyBasics,Condiments,Condiments,India
3925887970752,Traditional OrganicPlus Chicken Nuggets,Chicken Nuggets,OrganicPlus,Flour,Flour,India
7666496354440,Organic QuickMeal Sparkling Water 2L,Sparkling Water,QuickMeal,Chips,Chips,Italy
3725099503481,Natural SunValley Gum Pack of 12,Gum,SunValley,Health Supplements,Health Supplements,India
6517950538651,Organic CountryStyle Oil,Oil,CountryStyle,Personal Care,Personal Care,Brazil
2410930379874,Premium LocalBest Cheese,Cheese,LocalBest,Coffee,Coffee,Italy
1698338142294,Pure KitchenPride Juice,Juice,KitchenPride,Personal Care,Personal Care,Thailand
5591039604949,Natural MorningFresh Oat Milk,Oat Milk,MorningFresh,Flour,Flour,Brazil
9041467255746,Classic DailyBasics Olive Oil,Olive Oil,DailyBasics,Condiments,Condiments,USA
4751815571595,Farm Fresh HomeMade Cumin 200g,Cumin,HomeMade,Coffee,Coffee,Thailand
3775772884754,Artisan VillageMade Gouda Pack of 12,Gouda,VillageMade,Personal Care,Personal Care,India
6268011903574,Golden HomeMade Biscuits,Biscuits,HomeMade,Condiments,Condiments,Indonesia
3733975277719,Homestyle LocalBest Candy,Candy,LocalBest,Honey,Honey,Mexico
5646522879626,Farm Fresh QuickMeal Chicken Nuggets 100g,Chicken Nuggets,QuickMeal,Frozen Foods,Frozen Foods,Japan
1774282445811,Organic HomeMade Cashews,Cashews,HomeMade,Chocolate,Chocolate,Brazil
8772779400991,Farm Fresh KitchenPride Black Beans,Black Beans,KitchenPride,Cereals,Cereals,USA
3605123258594,Traditional NatureBite Pasta,Pasta,NatureBite,Dairy,Dairy,Thailand
7219554139843,Farm Fresh LocalBest Black Tea 500g,Black Tea,LocalBest,Spices,Spices,Vietnam
4117333527642,Traditional GreenLeaf Flour 750ml,Flour,GreenLeaf,Sugar,Sugar,Vietnam
5691170157410,Premium PureChoice Margarine,Margarine,PureChoice,Dairy,Dairy,Turkey
4914736804901,Natural NutriWell Parmesan,Parmesan,NutriWell,Tea,Tea,Mexico
8010216113207,Classic DailyBasics Chocolate Bar 1kg,Chocolate Bar,DailyBasics,Jam,Jam,Japan
8033049344267,Golden VillageMade Swiss Cheese,Swiss Cheese,VillageMade,Snacks,Snacks,USA
4140743004108,Pure NatureBite Cumin,Cumin,NatureBite,Salt,Salt,Thailand
8676453791775,Pure PureChoice Samosa,Samosa,PureChoice,Sauces,Sauces,China
1027642656565,Farm Fresh VillageMade Cheddar,Cheddar,VillageMade,Sauces,Sauces,Thailand
2230213054883,Golden LocalBest Cashews,Cashews,LocalBest,Cereals,Cereals,Indonesia
6286675445811,Farm Fresh KitchenPride Popcorn,Popcorn,KitchenPride,Chips,Chips,Spain
4372096024310,Traditional SimpleJoy Oat Milk,Oat Milk,SimpleJoy,Oils,Oils,Germany
6293843997145,Traditional FreshFarm Bagel,Bagel,FreshFarm,Juice,Juice,Italy
9179001781498,Artisan SunValley Whole Beans,Whole Beans,SunValley,Spices,Spices,Japan
