Supplier name,Product type,Lead time,Order quantities,Price,Manufacturing costs
FreshLink Trading,Bakery Items,20,1665,44.43,27.35
SafeShip Co,Dairy Products,5,1258,15.96,9.94
Metro Distributors,Dry Fruits,9,1053,10.44,4.53
GreenRoute Suppliers,Pasta,3,521,22.71,13.33
NetWorth Distributors,Beverages,8,1044,26.39,15.72
Metro Distributors,Fresh Juice,5,1710,24.92,10.99
City Supply Co,Beverages,11,1933,17.64,7.74
ProPack Trading,Canned Goods,5,851,9.44,4.54
SafeShip Co,Rice,6,661,20.27,9.75
ProPack Trading,Cereals,6,787,39.74,26.88
City Supply Co,Pet Food,15,1985,15.79,6.95
ClearPath Logistics,Dry Fruits,2,736,32.67,15.21
MaxFlow Trading,Tea,21,1351,6.7,2.73
NetWorth Distributors,Frozen Foods,3,1322,16.53,9.33
ClearPath Logistics,Dry Fruits,2,1784,11.69,7.11
SafeShip Co,Spices,2,1934,44.07,18.93
BestValue Suppliers,Pet Food,15,1155,38.9,26.5
BrightStar Distributors,Pasta,10,709,20.44,14.01
NetWorth Distributors,Baby Products,19,1647,4.96,3.07
ValueChain Partners,Rice,7,118,43.68,20.88
TrueValue Wholesale,Cleaning Products,13,1901,5.19,3.47
SwiftDelivery Co,Health Supplements,12,909,22.57,15.71
Metro Distributors,Chips,7,149,6.59,3.41
ProPack Trading,Spices,21,1557,27.46,12.98
TrueValue Wholesale,Beverages,4,508,39.97,26.35
FreshLink Trading,Rice,3,764,33.59,18.87
TrustTrade Global,Cleaning Products,17,89,26.33,17.19
MaxFlow Trading,Pasta,15,785,14.96,7.14
City Supply Co,Beverages,3,1871,14.28,5.81
SafeShip Co,Fresh Juice,10,1789,17.11,10.04
TrustTrade Global,Chocolate,8,655,33.33,18.69
NetWorth Distributors,Cooking Oils,7,789,19.17,9.29
ReliableSource Co,Biscuits,20,1289,7.68,3.72
EasySupply Hub,Canned Goods,12,958,19.86,8.44
GreenRoute Suppliers,Chocolate,3,1476,21.97,10.97
FreshLink Trading,Dairy Products,18,279,8.92,5.96
MaxFlow Trading,Sauces,13,412,31.13,15.93
AllGoods Wholesale,Personal Care,5,803,26.13,15.17
DirectSource Ltd,Cereals,5,742,42.39,22.54
PeakPerform Supply,Dairy Products,17,575,4.6,2.44
ValueChain Partners,Coffee,17,1804,34.83,21.47
TrustTrade Global,Condiments,5,1331,3.23,2.22
FastTrack Commerce,Pet Food,7,1484,12.27,7.06
TrustTrade Global,Coffee,3,382,17.26,11.89
QuickShip Logistics,Fresh Juice,18,570,41.55,20.09
RapidStock Co,Fresh Juice,11,798,34.61,20.53
BestValue Suppliers,Pet Food,7,564,31.22,13.27
ClearPath Logistics,Biscuits,9,429,23.62,14.92
SteadyStock Inc,Dairy Products,9,1819,20.81,9.12
BrightStar Distributors,Personal Care,10,1621,22.95,14.08
PeakPerform Supply,Health Supplements,7,1649,26.66,16.65
MegaStock Inc,Chips,4,1519,38.88,26.23
DirectSource Ltd,Chocolate,20,676,2.37,0.95
ClearPath Logistics,Rice,14,745,38.51,25.39
ValueChain Partners,Sauces,9,1856,43.72,25.1
TopShelf Trading,Baby Products,11,1197,33.75,21.61
ProPack Trading,Biscuits,2,1368,43.15,26.99
ProPack Trading,Sauces,17,906,36.42,23.9
ProPack Trading,Condiments,16,1137,3.47,1.65
SteadyStock Inc,Canned Goods,13,278,25.99,17.06
NetWorth Distributors,Bakery Items,15,309,38.33,21.91
DirectSource Ltd,Tea,15,1702,21.41,11.29
TrustTrade Global,Pet Food,3,1467,28.06,16.18
BestValue Suppliers,Condiments,13,385,18.05,8.59
MegaStock Inc,Chips,21,481,6.43,3.41
RapidStock Co,Coffee,2,1137,36.02,18.95
SteadyStock Inc,Tea,12,1227,6.58,3.87
SteadyStock Inc,Cleaning Products,15,1552,35.7,22.81
BrightStar Distributors,Chips,15,1043,3.52,1.73
ValueChain Partners,Tea,17,1035,41.38,28.9
ValueChain Partners,Snacks,13,1698,21.09,13.8
TrueValue Wholesale,Snacks,6,797,44.83,28.02
SafeShip Co,Dairy Products,13,804,43.38,20.68
DirectSource Ltd,Snacks,21,1467,28.6,16.06
NetWorth Distributors,Spices,6,808,18.44,10.86
ProPack Trading,Pasta,10,1962,33.96,16.33
MegaStock Inc,Baby Products,12,1503,30.61,16.59
PeakPerform Supply,Pet Food,15,481,12.03,6.03
ValueChain Partners,Frozen Foods,2,1501,40.85,20.43
RapidStock Co,Spices,8,1648,1.93,1.03
ProPack Trading,Baby Products,17,317,24.47,14.98
CoreSupply Partners,Canned Goods,17,846,26.37,15.87
ReliableSource Co,Biscuits,17,173,42.68,24.18
ValueChain Partners,Frozen Foods,15,1723,19.03,8.95
TrueValue Wholesale,Fresh Juice,21,1156,2.85,1.68
CoreSupply Partners,Tea,15,1445,39.57,18.96
PrimePack Solutions,Cleaning Products,21,1737,36.47,17.71
SafeShip Co,Cooking Oils,3,165,43.28,25.14
TrustTrade Global,Bakery Items,15,776,11.24,6.17
CoreSupply Partners,Tea,18,574,7.57,4.14
EasySupply Hub,Rice,20,182,27.01,13.96
ClearPath Logistics,Fresh Juice,20,733,2.44,1.59
ProPack Trading,Frozen Foods,12,1293,9.15,3.76
TrustTrade Global,Dry Fruits,4,764,20.08,10.9
City Supply Co,Coffee,21,1093,7.67,3.19
